id,closure,duration_h,event_observed,latitude,longitude,region_cluster,density_2km,density_5km,centrality,complexity,interaction_weight,hour_sin,hour_cos,day_sin,day_cos,peak_hour,keyword_accident,keyword_breakdown,keyword_hazard,keyword_weather,keyword_obstruction
FKID000000,0,1045.238931505,0,13.0400041,77.5180991,9,186,593,8.5,2.0,17.0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000001,0,0.17295982083333333,1,12.9218755,77.6451585,6,17,284,2.0,3.0,6.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000002,0,1918.6333162525002,1,12.955622,77.5857083,5,234,1184,2.0,1.0,2.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0,0,0,0,0,0
FKID000003,1,157.75291345555556,1,13.0061469,77.5794348,0,230,1122,2.0,1.0,2.0,-0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419,1,0,0,1,0,0
FKID000004,0,0.6458306341666666,1,12.95398,77.5852333,5,133,743,2.0,1.0,2.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000005,0,3459.144714443611,0,13.0664854,77.5998755,2,137,847,2.0,1.0,2.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000006,0,1942.8282015050002,0,12.9328703,77.4879814,14,9,201,2.0,1.0,2.0,0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000007,0,403.3719420636111,1,12.973175,77.6003961,5,278,789,2.0,1.0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000008,0,1624.1728464866667,0,12.97883573,77.59953728,5,557,1744,2.0,1.0,2.0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0,0,0,0,0,0
FKID000009,0,1944.838385116111,0,13.0373543,77.6540442,7,69,449,2.0,2.0,4.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000010,0,155.80499415138888,1,13.0008457,77.6813712,8,73,409,2.0,1.0,2.0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,0,0,1,0
FKID000011,0,1944.9170248383332,0,12.94457,77.5274017,14,192,641,2.0,1.0,2.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000012,0,1044.2675678938888,0,12.9995223,77.6827499,8,104,566,2.0,1.0,2.0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,0,0,1,0
FKID000013,0,1727.9145219080556,1,13.0418933,77.594705,0,201,826,2.0,1.0,2.0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000014,0,1042.8312945605555,0,12.975285,77.6256902,11,173,1170,6.5,1.0,6.5,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,1,0,0,0,0
FKID000015,0,1043.0962040050001,0,13.0633917,77.5933483,2,135,741,2.0,1.0,2.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000016,0,1043.081305393889,0,13.063425,77.5933,2,135,738,2.0,1.0,2.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000017,0,1042.9606595605555,0,13.0254527,77.6417388,7,106,587,2.0,1.0,2.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,1,0,0,0
FKID000018,0,4.889083458333333,1,12.9233517,77.5904883,3,137,724,2.0,1.0,2.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000019,0,1945.4475092827777,0,13.0001393,77.5840594,0,412,1915,2.0,1.0,2.0,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000020,0,0.4541458716666667,1,12.9071221,77.6286395,6,131,523,8.0,3.0,24.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000021,1,48.808680218333336,1,12.927375,77.5806883,3,136,773,2.0,1.0,2.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000022,0,1485.2067072805555,1,12.9169074,77.5950955,3,178,794,2.0,1.0,2.0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0,0,0,0,0,0
FKID000023,0,1941.7225409494445,0,12.9667047,77.6615983,11,40,759,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000024,0,1042.3455009494446,0,12.8966387,77.7202071,1,5,65,2.0,1.0,2.0,-0.9659258262890684,0.2588190451025203,0.43388373911755823,-0.900968867902419,1,0,0,1,1,0
FKID000025,1,14.055400421666667,1,12.9463911,77.597326,5,106,1020,2.0,1.0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0
FKID000026,0,1941.6844070605555,0,12.9856042,77.5977438,5,502,1808,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000027,0,1942.0558684494445,0,12.9077383,77.6005709,3,243,991,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000028,0,0.15132961305555556,1,12.9635109,77.6642122,11,18,285,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000029,0,1941.7419159494443,0,12.9667073,77.6615616,11,40,759,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000030,0,1941.7036256716667,0,12.9666867,77.6616478,11,40,760,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000031,1,1942.1340787272222,0,12.907814,77.6006561,3,243,992,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000032,0,1944.5471473383334,0,12.8955737,77.5993711,3,141,903,2.0,2.0,4.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0,0,1,0,0,0
FKID000033,0,48.46150342861111,1,12.92757,77.5832051,3,144,781,2.0,1.0,2.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000034,0,1944.631327616111,0,13.044697,77.5828546,0,258,1119,2.0,1.0,2.0,0.9659258262890683,0.25881904510252074,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000035,0,1941.669609005,0,12.9666885,77.6616396,11,39,759,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000036,0,1041.9714756716667,0,12.9789228,77.5644032,5,325,1692,5.0,1.0,5.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000037,0,1946.3858717722223,0,12.8636494,77.6725849,13,20,101,2.0,1.0,2.0,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000038,0,1935.0161459494445,0,12.9219483,77.6002467,6,275,1130,2.0,3.0,6.0,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,0,0,1,0,0,0
FKID000039,0,1941.6477617827777,0,12.9666597,77.661556,11,39,760,2.0,1.0,2.0,0.8660254037844387,-0.4999999999999998,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000040,0,1938.7487267827778,0,12.946469,77.6986754,1,130,433,2.0,1.0,2.0,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
FKID000041,1,1.7736525194444446,1,12.9936273,77.5844677,5,296,1042,2.0,1.0,2.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000042,0,1929.6302598383334,0,12.9465079,77.6986339,1,130,434,2.0,1.0,2.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000043,0,1043.7715020605556,0,13.0467058,77.5036495,9,183,522,2.0,2.0,4.0,-1.0,-1.8369701987210297e-16,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000044,0,2736.1616359494446,0,13.0166142,77.5054464,9,17,741,2.0,1.0,2.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0,0,0,0,0,0
FKID000045,1,1928.9161003938889,0,13.0085677,77.6131497,7,90,1570,2.0,1.0,2.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000046,0,1930.7119020605555,0,13.0309717,77.5364661,9,260,799,8.5,2.0,17.0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000047,0,2.225497208888889,1,13.0262806,77.5442344,9,156,602,8.5,1.0,8.5,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000048,0,30.488342607777778,1,12.9938639,77.5844374,5,295,1077,2.0,1.0,2.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000049,0,0.9256954752777777,1,12.9188682,77.6687736,6,26,160,2.0,1.0,2.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000050,0,1929.4927523383333,0,12.9546127,77.6423399,11,80,827,2.0,1.0,2.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000051,0,1929.036894282778,0,12.936133,77.5187044,14,100,485,7.0,2.0,14.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000052,0,1929.3351478938887,0,12.9694079,77.7006346,1,196,570,2.0,1.0,2.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000053,0,1.1554979338888889,1,12.9849833,77.5883633,5,247,711,2.0,1.0,2.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000054,0,1041.552960393889,0,13.0127301,77.5545135,0,177,1412,2.0,1.0,2.0,-0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419,1,0,0,0,0,0
FKID000055,0,1.0212828463888888,1,12.9842019,77.7336286,8,18,170,2.0,1.0,2.0,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0
FKID000056,1,1930.6596006716666,0,13.2644465,77.7187627,12,10,18,2.0,3.0,6.0,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,1,0,1,0,0,0
FKID000057,0,0.6068722911111112,1,12.9848257,77.7527586,8,23,61,2.0,1.0,2.0,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,0,0,0,0,0,0
